Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Algeria,DZA,"Youth literacy rate, population 15-24 years, adjusted gender parity index (GPIA)",UIS.LR.AG15T24.GPIA,..,..,0.91576,..,..,..,0.94445,..,0.95815,..,..,..,..,..,..,..,..,..,0.9965,..,..
Algeria,DZA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,100.49943,99.5018,100.93995,101.64258,102.69638,103.3146,103.94681,105.71126,105.58136,108.56269,111.54048,112.78835,114.63906,116.31155,115.46546,112.99054,110.83654,108.89749,107.30229,104.85988,..
Algeria,DZA,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.91668,0.9183,0.92461,0.92375,0.92588,0.92509,0.92651,0.93389,0.93659,0.9359,0.93749,0.9384,0.94445,0.94841,0.95096,0.9523,0.94972,0.95093,0.95499,0.95585,..
Algeria,DZA,"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA,109.63453,108.35422,109.17032,110.03286,110.91719,111.68042,112.19169,113.19406,112.72963,115.99771,118.97798,120.19236,121.38148,122.63853,121.4196,118.65021,116.70419,114.51654,112.35955,109.70358,..
Algeria,DZA,"Gross enrolment ratio, secondary, female (%)",SE.SEC.ENRR.FE,66.65583,70.97624,74.21631,77.27172,80.94692,82.67048,83.56092,73.11961,78.17738,93.40462,98.69296,101.54452,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Gross enrolment ratio, secondary, gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.04744,1.06336,1.0637,1.08735,1.09079,1.09558,1.09434,1.08138,1.03848,1.01119,1.03617,1.03872,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Gross enrolment ratio, secondary, male (%)",SE.SEC.ENRR.MA,63.63696,66.74712,69.77184,71.06447,74.20962,75.45842,76.35753,67.61721,75.28034,92.37093,95.24823,97.75898,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Gross enrolment ratio for tertiary education, female (%)",SE.TER.ENRR.FE,..,..,..,..,19.8832,23.47705,23.81839,27.56121,..,35.32708,35.42107,37.07264,38.56113,40.87643,41.85668,45.04758,53.59891,57.24471,64.42081,..,..
Algeria,DZA,"Gross enrolment ratio for tertiary education, male (%)",SE.TER.ENRR.MA,..,..,..,..,18.44102,18.36111,18.94768,19.77541,..,24.66836,24.53242,25.53731,26.03504,27.1193,27.33998,28.78973,32.04778,38.41262,38.8317,..,..
Algeria,DZA,"Gross enrolment ratio for tertiary education, adjusted gender parity index (GPIA)",UIS.GER.5T8.GPIA,..,..,..,..,1.07253,1.21791,1.20449,1.28249,..,1.30172,1.30741,1.31115,1.32484,1.33655,1.34682,1.3609,1.40208,1.32898,1.39722,..,..
